IDCLI,NOMCLIENT,IDREP,CREDIT
2111,JCPInc.,103,50000
2102,FirstCorp.,101,65000
2103,AcmeMfg.,105,50000
2123,Carter& ons,102,40000
2107,AceInternational,110,35000
2115,SmithsonCorp.,101,20000
2101,JonesMfg.,106,65000
2112,Zetacorp,108,50000
2121,QMAAssoc.,103,45000
2114,OrionCorp,102,20000
2124,PeterBrothers,107,40000
2108,Holm&Landis,109,55000
2117,J.P.Sinclair,106,35000
2122,Three-WayLines,105,30000
2120,RicoEnterprises,102,50000
2106,FredLewisCorp.,102,65000
2119,SolomonInc.,109,25000
2118,MidwestSystems,108,60000
2113,Ian&Schmidt,104,20000
2109,ChenAssociates,103,25000
2105,AAAInvestments,101,45000
